Country Code,Name,Location,System ID,URL,Auto-Discovery URL,Supported Versions
CA,Taxi Montreal,"Montreal, QC",,,,1.0
US,Arlington Heights-Rolling Meadows Pace On Demand,"Arlington Heights, IL",,,,1.0
US,Batavia Pace On Demand,"Batavia, IL",,,,1.0
US,Hoffman Estates Pace On Demand,"Hoffman Estates, IL",,,,1.0
US,Lansing Area On Demand Pace On Demand,"Lansing, IL",,,,1.0
US,Naperville-Aurora On Demand Pace On Demand,"Naperville, IL",,,,1.0
US,Round Lake Area Pace On Demand,"Round Lake, IL",,,,1.0
US,Southeast Aurora On Demand Pace On Demand,"Aurora, IL",,,,1.0
US,St. Charles-Geneva Pace On Demand,"St. Charles, IL",,,,1.0
US,Vernon Hills-Mundelein Pace On Demand,"Vernon Hills, IL",,,,1.0
US,West Joliet Pace On Demand,"West Joliet, IL",,,,1.0
US,Wheaton-Winfield On Demand Pace On Demand,"Wheaton, IL",,,,1.0
US,Freebee Miami Beach,"Miami Beach, FL",,,,1.0
